"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"IBWVYSM4","journalArticle","2023","Morris, J.H.; Collins, H.","Mis)managing Macroprudential Expectations: How Central Banks Govern Financial and Climate Tail Risks","Edward Elgar Publishing. ISBN","","","","","","2023","2024-03-04 09:58:28","2024-03-04 09:58:29","","","","","978 1 80088 758 9","","","","","","","","","","en","","","","","","","","","","","","⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T52LSNTV","journalArticle","2017","Stellinga, B.; Mügge, D.","The regulator’s conundrum. How market reflexivity limits fundamental financial reform","Review of International Political Economy","","","10.1080/09692290.2017.1320300","","","2017","2024-03-04 09:58:28","2024-03-04 09:58:28","","393–423","","3","24","","","","","","","","","","en","","","","","","","","","/Users/rainerkrug/Zotero BBA_Ch6_critical_approach_finance/storage/HTYCP3SX/Stellinga_Mügge_2017_The regulator’s conundrum.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M6GZSDXC","journalArticle","2021","Thiemann, M.; Melches, C.R.; Ibrocevic, E.","Measuring and mitigating systemic risks: How the forging of new alliances between central bank and academic economists legitimize the transnational macroprudential agenda","Review of International Political Economy","","","10.1080/09692290.2020.1779780","","","2021","2024-03-04 09:58:28","2024-03-04 09:58:28","","1433–1458","","6","28","","","","","","","","","","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MB9D8M2K","journalArticle","2022","Özgöde, O.","The emergence of systemic risk: The Federal Reserve, bailouts, and monetary government at the limits","Socio-Economic Review","","","10.1093/ser/mwaa053","","","2022","2024-03-04 09:58:28","2024-03-04 09:58:28","","2041–2071","","4","20","","","","","","","","","","en","","","","","","","","","/Users/rainerkrug/Zotero BBA_Ch6_critical_approach_finance/storage/J7BU9MU9/Özgöde_2022_The emergence of systemic risk.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BY77VC4U","journalArticle","2020","Stellinga, B.","The open-endedness of macroprudential policy. Endogenous risks as an obstacle to countercyclical financial regulation","Business and Politics","","","10.1017/bap.2019.14","","","2020","2024-03-04 09:58:28","2024-03-04 10:03:20","","224–251","","1","22","","","","","","","","","","en","","","","","","","","","/Users/rainerkrug/Zotero BBA_Ch6_critical_approach_finance/storage/JZUTJ5TY/Stellinga_2020_The open-endedness of macroprudential policy.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49KBP6RZ","journalArticle","2019","Mennillo, G.; Sinclair, T.J.","A hard nut to crack: Regulatory failure shows how rating really works","Competition & Change","","","10.1177/1024529419833870","","","2019","2024-03-04 09:58:28","2024-03-04 09:58:28","","266–286","","3","23","","","","","","","","","","en","","","","","","","","","/Users/rainerkrug/Zotero BBA_Ch6_critical_approach_finance/storage/2DPNZAP6/Mennillo_Sinclair_2019_A hard nut to crack.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XMZYUFRP","journalArticle","2020","P, Langley; JH, Morris","Central banks: Climate governors of last resort?","Environment and Planning A: Economy and Space","","","10.1177/0308518X20951809","","","2020","2024-03-04 09:58:28","2024-03-04 09:58:28","","1471–1479","","8","52","","","","","","","","","","en","","","","","","","Publisher: SAGE Publications Ltd","","/Users/rainerkrug/Zotero BBA_Ch6_critical_approach_finance/storage/88KAQQC7/P_JH_2020_Central banks.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XHW4RC6D","journalArticle","2022","Best, J.","Uncomfortable knowledge in central banking: Economic expertise confronts the visibility dilemma","Economy and Society","","","10.1080/03085147.2022.2121066","","","2022","2024-03-04 09:58:28","2024-03-04 09:58:28","","559–583","","4","51","","","","","","","","","","en","","","","","","","","","/Users/rainerkrug/Zotero BBA_Ch6_critical_approach_finance/storage/W5DA82IK/Best_2022_Uncomfortable knowledge in central banking.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W93CSV5H","journalArticle","2004","M, Goede","Repoliticizing financial risk","Economy and Society","","","10.1080/03085140410001677120","","","2004","2024-03-04 09:58:28","2024-03-04 09:58:28","","197–217","","2","33","","","","","","","","","","en","","","","","","","Place: Routledge","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35BXTB5Y","journalArticle","2012","Svetlova, E.","On the performative power of financial models","Economy and Society","","","10.1080/03085147.2011.616145","","","2012","2024-03-04 09:58:28","2024-03-04 09:58:28","","418–434","","3","41","","","","","","","","","","en","","","","","","","Place: Routledge","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DJI3JZQA","journalArticle","2022","N, Coombs; M, Thiemann","Recentering central banks: Theorizing state-economy boundaries as central bank effects","Economy and Society","","","10.1080/03085147.2022.2118450","","","2022","2024-03-04 09:58:28","2024-03-04 09:58:28","","535–558","","4","51","","","","","","","","","","en","","","","","","","Place: Routledge","","/Users/rainerkrug/Zotero BBA_Ch6_critical_approach_finance/storage/HL8RK4Z9/N_M_2022_Recentering central banks.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QNTXC8VT","journalArticle","2023","Quorning, S.","The ‘climate shift’ in central banks: how field arbitrageurs paved the way for climate stress testing","Review of International Political Economy","","","10.1080/09692290.2023.2171470","","","2023","2024-03-04 09:58:28","2024-03-04 10:03:08","","1–23","","","","","","","","","","","","","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q4M2D4TF","journalArticle","2015","Lockwood, E.","Predicting the unpredictable: Value-at-risk, performativity, and the politics of financial uncertainty","Review of International Political Economy","","","10.1080/09692290.2014.957233","","","2015","2024-03-04 09:58:28","2024-03-04 09:58:28","","","","4","22","","","","","","","","","","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U4DPQTM6","journalArticle","2018","Baker, A.","Macroprudential regimes and the politics of social purpose","Review of International Political Economy","","","10.1080/09692290.2018.1459780","","","2018","2024-03-04 09:58:28","2024-03-04 09:58:28","","293–316","","3","25","","","","","","","","","","en","","","","","","","Place: Routledge","","/Users/rainerkrug/Zotero BBA_Ch6_critical_approach_finance/storage/L7IRND73/Baker_2018_Macroprudential regimes and the politics of social purpose.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RN86ZSNH","journalArticle","2023","Taylor, N.","Making financial sense of the future’: actuaries and the management of climate-related financial risk","New Political Economy","","","10.1080/13563467.2022.2067838","","","2023","2024-03-04 09:58:28","2024-03-04 09:58:28","","","","1","28","","","","","","","","","","en","","","","","","","","","/Users/rainerkrug/Zotero BBA_Ch6_critical_approach_finance/storage/WRSFNY5U/Taylor_2023_Making financial sense of the future’.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8MQB3HNM","journalArticle","2019","M, Kranke; D, Yarrow","The Global Governance of Systemic Risk: How Measurement Practices Tame Macroprudential Politics","New Political Economy","","","10.1080/13563467.2018.1545754","","","2019","2024-03-04 09:58:28","2024-03-04 10:03:12","","816–832","","6","24","","","","","","","","","","en","","","","","","","Place: Routledge","","/Users/rainerkrug/Zotero BBA_Ch6_critical_approach_finance/storage/DH48GLMB/M_D_2019_The Global Governance of Systemic Risk.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BQ4KMRM3","journalArticle","2023","Cassar, D.","Economics as intervention: Expert struggles over quantitative easing at the Bank of England","Socio-Economic Review","","","10.1093/ser/mwad060","","","2023","2024-03-04 09:58:28","2024-03-04 09:58:28","","","","","mwad060","","","","","","","","","","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KMSX6XWP","journalArticle","2019","Stellinga, B.","Why performativity limits credit rating reform","Finance and Society","","","10.2218/finsoc.v5i1.3016","","","2019","2024-03-04 09:58:28","2024-03-04 09:58:28","","20–41","","1","5","","","","","","","","","","en","","","","","","","Publisher: Cambridge University Press & Assessment","","/Users/rainerkrug/Zotero BBA_Ch6_critical_approach_finance/storage/WQYGJ83F/Stellinga_2019_Why performativity limits credit rating reform.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A3QHXFFC","journalArticle","2022","A, Abreu; DS, Lopes","Forward guidance and the semiotic turn of the European Central Bank","Journal of Cultural Economy","","","10.1080/17530350.2021.1921829","","","2022","2024-03-04 09:58:28","2024-03-04 09:58:28","","14–29","","1","15","","","","","","","","","","en","","","","","","","Place: Routledge","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IBC5TQAL","journalArticle","2023","Siderius, K.","An unexpected climate activist: central banks and the politics of the climate-neutral economy","Journal of European Public Policy","","","10.1080/13501763.2022.2093948","","","2023","2024-03-04 09:58:28","2024-03-04 09:58:28","","","","8","30","","","","","","","","","","en","","","","","","","","","/Users/rainerkrug/Zotero BBA_Ch6_critical_approach_finance/storage/PBDU6ALE/Siderius_2023_An unexpected climate activist.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8MCN6BI4","document","","Taeger","Beunza under review. For a performative sociology of climate risk","","","","","","","","2024-03-04 09:58:28","2024-03-04 09:58:28","","","","","","","","","","","","","","","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
